id,title,url,completion_ratio
4615892,Build Facebook clone with REACT JS AND THE MERN STACK 2022,/course/build-facebook-clone-and-master-react-js-mern-stack-2022/learn/,1
705264,Modern React with Redux,/course/react-redux/learn/,0
2196488,Ultimate AWS Certified Solutions Architect Associate SAA-C03,/course/aws-certified-solutions-architect-associate-saa-c03/learn/,34
2253706,AWS Certified Data Analytics Specialty 2022 - Hands On!,/course/aws-data-analytics/learn/,1
1935322,Testing Spring Boot: Beginner to Guru,/course/testing-spring-boot-beginner-to-guru/learn/,1
3768806,Software Architecture & Technology of Large-Scale Systems,/course/developer-to-architect/learn/,5
3848212,Serverless using AWS Lambda for Python Developers,/course/serverless-using-aws-lambda-for-python-developers/learn/,0
1453872,Java 8 New Features In Simple Way,/course/java-8-new-features-in-simple-way/learn/,2
552508,Introduction to Collections Generics & Reflection in Java,/course/introduction-to-generics-in-java/learn/,2
3599404,Event-Driven Microservices: Spring Boot Kafka and Elastic,/course/event-driven-microservices-spring-boot-kafka-and-elasticsearch/learn/,5
1692036,Modern Java - Learn Java 8 features by coding it,/course/modern-java-learn-java-8-features-by-coding-it/learn/,1
2259748,Java Collections from basics to Advanced,/course/collections-and-concurrent-collection-video-lectures-and-tutorials/learn/,1
2365836,Elasticsearch 8 and the Elastic Stack: In Depth and Hands On,/course/elasticsearch-7-and-elastic-stack/learn/,5
2337212,Java Exception Handling For Certification & Interviews,/course/java-exception-handling-for-certification-interviews/learn/,0
2829896,MongoDB with Java Spring Boot & Spring Framework,/course/mongodb-with-spring-boot-spring-data-mongorepository-mlab-cloudfoundry/learn/,25
524990,Software Architecture (SOLID) & Design Patterns in Java,/course/basics-of-software-architecture-design-in-java/learn/,0
1326802,Oracle Java Certification - Pass the Associate 1Z0-808 Exam.,/course/oracle-java-associate-certification-exam-course-1z0-808/learn/,10
4076436,PySpark & AWS: Master Big Data With PySpark and AWS,/course/pyspark-aws-master-big-data-with-pyspark-and-aws/learn/,0
4304531,Complete Guide to Freelancing in 2023: Zero to Mastery,/course/complete-guide-to-freelancing-zero-to-mastery/learn/,0
1906852,MongoDB - The Complete Developer's Guide 2023,/course/mongodb-the-complete-developers-guide/learn/,1
2776760,100 Days of Code: The Complete Python Pro Bootcamp for 2022,/course/100-days-of-code/learn/,1
4019302,Snowflake – The Complete Masterclass (2022 Edition),/course/snowflake-masterclass/learn/,5
1470810,The Modern JavaScript Bootcamp,/course/modern-javascript/learn/,10
851712,The Complete JavaScript Course 2023: From Zero to Expert!,/course/the-complete-javascript-course/learn/,1
437398,Build Responsive Real-World Websites with HTML and CSS,/course/design-and-develop-a-killer-website-with-html5-and-css3/learn/,6
4242194,Data Engineering using AWS Data Analytics,/course/data-engineering-using-aws-analytics-services/learn/,0
1561458,CSS - The Complete Guide 2023 (incl. Flexbox Grid & Sass),/course/css-the-complete-guide-incl-flexbox-grid-sass/learn/,0
1075642,Apache Kafka Series - Learn Apache Kafka for Beginners v3,/course/apache-kafka/learn/,37
1464072,Java Certification : OCA (1Z0-808) Exam Simulation [2022],/course/java-oca/learn/,0
